product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url
B0BWYY7VRS,2,slayisha Holographic Eyeshadow Duochrome iridescent 9 Color/Color Shifting Highlighter EyeTopper And Eyeshadow,$29.99,$29.99,slayisha,-,-,10 x 7 x 2 inches, 8 Ounces,3 ratings,4.6 out of 5 stars,https://www.amazon.com/slayisha-Holographic-Eyeshadow-iridescent-Highlighter/dp/B0BWYY7VRS/ref=sr_1_201?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-201,https://m.media-amazon.com/images/I/513xdqxF5kL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAV4F5FREVAJK&asin=B0BWYY7VRS&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CGLGQYLH,-,"All in One Makeup Full Kit, 74 Colors Makeup Gift Set, Eyeshadow Lip gloss Glitter cream Concealer Blush-4 Compact Glitter eyeshadow 9 color palette-6 Matte lipstick colors-Multi pack set", $29.99 , $29.99 ,Sr,-,-,-,-,-,-,https://www.amazon.com/Eyeshadow-Concealer-eyeshadow-palette-6-colors-Multi/dp/B0CGLGQYLH/ref=sr_1_202?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-202,https://m.media-amazon.com/images/I/61fvuFdVhKL._AC_UL320_.jpg,-
B08W9YWS9B,2,3CE Multi Eye Color Palette Clear Warm & Cool #Some DEF 9Colors Peal Glow Eye Shadow Staylenanda,$38.00,$38.00,-,-,-,4.06 x 3.78 x 1.42 inches, 3.53 Ounces,9 ratings,5.0 out of 5 stars,https://www.amazon.com/3CE-Palette-9Colors-Shadow-Staylenanda/dp/B08W9YWS9B/ref=sr_1_193?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-193,https://m.media-amazon.com/images/I/51c41ng7-KL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AA7VCN2Y62MGE&asin=B08W9YWS9B&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CC1L5NTG,2,SFATT 9 Color Eyeshadow Palettes Portable Glitter Powder Mattes Pearlescent Earth Color Long Lasting Makeup Profusion Cosmetics,$1.82,$1.82,SFATT,v6ko9mKXR,-,-,-,-,-,https://www.amazon.com/SFATT-Eyeshadow-Pearlescent-Profusion-Cosmetics/dp/B0CC1L5NTG/ref=sr_1_194?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-194,https://m.media-amazon.com/images/I/71N3lfRplnL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AIWHSHRDNUG9Y&asin=B0CC1L5NTG&ref_=dp_merchant_link
B09X786XTY,-,Xiahium Eyeshadow Palette 9 Matte Shimmer Shades Natural Long Lasting Waterproof Ultra Blendable Smoky Makeup Pallet,-,-,Xiahium Women Makeup,mothers day gifts,-,-,-,1 rating,1.0 out of 5 stars,https://www.amazon.com/Eyeshadow-Palette-Shimmer-Waterproof-Blendable/dp/B09X786XTY/ref=sr_1_195?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-195,https://m.media-amazon.com/images/I/61T-vN+ejjL._AC_UL320_.jpg,-
B0BFF9VTQD,-,"LUXAZA 10PCS Eyeshadow Stick,Shimmer And Neutral Champagne Pink Metallic Eye Shadow sticks,Cream Pencil Crayon with Smudge-proof & Waterproof,Eye Brightener Stick",-,-,LUXAZA,-,-,8.9 x 5.83 x 0.75 inches, 6.74 Ounces,856 ratings,4.0 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE2NTkyODUyOTQ2NzE6MTY5OTA0NzkzMDpzcF9tdGY6MjAwMTQwMDUwMTYzMDk4OjowOjo&url=%2FLUXAZA-Eyeshadow-Stick-26%2Fdp%2FB0BFF9VTQD%2Fref%3Dsr_1_196_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047930%26sr%3D8-196-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71UMiZWeGnL._AC_UL320_.jpg,-
B01FIL1UN6,2,"L.A. COLORS 8 Color Eyeshadow Palette, 0.70 Oz, Strange Love, 1 Count",$5.94,$5.94,L.A. COLORS Cosmetics,CES749,-,Item Dimensions LxWxH,-,"1,866 ratings",4.2 out of 5 stars,https://www.amazon.com/L-Colors-Eyeshadow-Palette-Strange/dp/B01FIL1UN6/ref=sr_1_197?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-197,https://m.media-amazon.com/images/I/8139pkirXuL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AJL4EBFFAHBCG&asin=B01FIL1UN6&ref_=dp_merchant_link&isAmazonFulfilled=1
B07VNV6LNZ,2,Ccolor Fairy Tale - 18 Color Eyeshadow Palette - Highly Pigmented - Neutral Nudes Bright Colorful Eye Shadow - Long Lasting - Makeup Palette,$13.99,$13.99,Ccolor Cosmetics,-,-,7.4 x 3.1 x 0.7 inches, 6.38 Ounces,93 ratings,4.3 out of 5 stars,https://www.amazon.com/Ccolor-Fairy-Tale-Eyeshadow-Pigmented/dp/B07VNV6LNZ/ref=sr_1_198?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-198,https://m.media-amazon.com/images/I/71vb3pjzM2L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1Y9RT0269BQUG&asin=B07VNV6LNZ&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BKX8X4K9,2,"Timipoo Double color eye shadow, high pigment eye makeup palette, matte shimmer metal eye shadow powder, waterproof and durable color eye shadow (09#Sapphire blue)",$6.39,$6.39,Timipoo,-,-,1.97 x 1.97 x 0.63 inches, 0.63 Ounces,152 ratings,4.1 out of 5 stars,https://www.amazon.com/Timipoo-pigment-palette-waterproof-Sapphire/dp/B0BKX8X4K9/ref=sr_1_199?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-199,https://m.media-amazon.com/images/I/61nwiazXo9L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2VPEVXBI4H04M&asin=B0BKX8X4K9&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C85V823S,2,Outfmvch Hot Halloween Costume 9 Colors Mattes Eyeshadow Palettes Colorful High Pigmented Eyeshadow Makeup Palettes Lasting Natural Eyeshadow Palettes Eye Color Changing,$2.59,$2.59,Outfmvch,Eyeshadow,-,-,-,-,-,https://www.amazon.com/Outfmvch-Halloween-Eyeshadow-Palettes-Pigmented/dp/B0C85V823S/ref=sr_1_200?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-200,https://m.media-amazon.com/images/I/510sfpFUo-L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AUTS5T4VRT18L&asin=B0C85V823S&ref_=dp_merchant_link
